ref,f,transition
4614254347.858839,4616248011.230754,01
4614232089.813614,4614174580.525983,01
4613703485.892236,4613688447.593518,01
4613814583.037674,4613790338.367783,01
4613510854.687233,4613604284.061206,01
4613871080.337238,4613865427.959007,01
4624696049.313854,4624513608.502713,01
4615244854.345188,4615205004.503621,01
4499497243.10582,4499732018.757439,01
4495641061.700059,4495884287.340999,01
4368913412.943477,4368970684.989144,01
4873117914.90814,4873134417.64852,01
4873117914.90814,4873106896.890467,01
4878374488.682186,4878362330.922746,01
4756650788.882474,4756662861.107032,01
4756617440.639641,4756769920.945447,01
4750110015.009522,4750084623.553009,01
5242310000.0,5242395183.934049,01
5079305557.972705,5079281535.7253,01
4983331623.67338,4983294326.847761,01
4758337314.747118,4758361495.636424,01
4473232204.585728,4473312241.27411,01
4292248088.595757,4291992502.094743,01
4292248088.595757,4292085552.182607,01
4293704200.0,4293692716.607724,01
4294567740.506874,4294624946.232021,01
4239550000.0,4239407979.701164,01
4027768807.8941126,4027764109.032515,01
3872656500.0,3873109118.2172513,01
5241114296.51445,5241116551.53761,01
5241114296.51445,5241126646.795719,01
5241035346.479189,5241112713.473972,01
5241035346.479189,5241115820.772829,01
5337581907.743975,5337601513.242774,01
5265077037.712406,5265084129.070404,01
5263295011.621908,5263292317.9307575,01
5110855864.369264,5110833586.730277,01
5110824926.316486,5110813852.100002,01
4960540887.554508,4960541031.04153,01
4371371738.775448,4371322007.850257,01
4725007000.0,4725041864.498728,01
3873613891.5171943,3873441928.363908,01
3868500000.0,3868520745.6581616,01
5248995691.050215,5248991455.1252575,01
5249006041.76088,5248994779.787565,01
5042338637.340425,5042363394.404684,01
4824206846.021774,4824197659.221157,01
4706132806.193007,4706197172.98789,01
5471286471.517628,5145248975.217679,02
5593658863.87679,5270978091.858085,02
5485575199.557332,5160261150.560102,02
5461017935.028401,5135055255.326254,02
5461305780.910074,5135100038.03054,02
5461251315.623525,5135050154.972275,02
5462037148.53618,5136221736.458147,02
5461949397.151244,5135936187.735987,02
5461050205.347298,5135072421.901141,02
5461263883.87877,5135393386.251624,02
5363051026.519324,10400314662.213018,02
5241199255.623716,10153901230.64856,02
5457155174.181067,10588197477.88444,02
5457155174.181067,10588250879.51055,02
5457155174.181067,10588596914.886902,02
5461050086.823932,10596176476.02263,02
5457038489.666568,10588371813.80187,02
5468471870.943167,10610953096.670492,02
5461205015.126817,10596339017.013212,02
5452295758.238522,10578446761.896688,02
5424570224.622953,10523691779.732878,02
5395811765.149469,10466167027.287624,02
5378334682.314854,10430423406.23367,02
5378493049.28772,10429952561.728949,02
5358919002.315442,10391739156.872496,02
